"division_code","division","district_code","district","ctc","ctn","upazila_code","upazila","psc","psn","union_code","union_name","mouza_code","mouza","village_code","village","rmo_tus","rmo_phc","ea_code","psu_code"
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","02","ADABAR","00","OTHERS AREA","030","WARD NO. 30","780","UTTAR ADABAR","028","BAITUL AMAN HOUSING PART",2,"9","002",1941
"30","DHAKA","68","NARSINGDI","00","OTHERS AREA","60","NARSINGDI SADAR","00","OTHERS AREA","624","PANCHDONA","095","BHATPARA","115","KULAIT",2,"6","003",1942
"30","DHAKA","26","DHAKA","20","DHAKA SOUTH CITY CORPORATION","32","KADAMTALI","00","OTHERS AREA","060","WARD NO. 60","150","DANIA (PART)","308","PALASHPUR",2,"9","003",1943
"30","DHAKA","26","DHAKA","00","OTHERS AREA","72","SAVAR","80","SAVAR POURASABHA","001","WARD NO. 01","097","BHATPARA","036","BHATPARA",2,"2","018",1944
"30","DHAKA","26","DHAKA","00","OTHERS AREA","18","DOHAR","60","DOHAR POURASABHA","005","WARD NO. 05","367","JOYPARA (PART)","108","DAKKHIN JOYPARA MAJHIPARA",2,"2","001",1945
"45","MYMENSINGH","39","JAMALPUR","00","OTHERS AREA","15","DEWANGANJ","16","DEWANGANJ POURASABHA","004","WARD NO. 04","418","KALIKAPUR (PART)","020","BAZARIPARA",2,"2","003",1946
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","70","RUPNAGAR","00","OTHERS AREA","007","WARD NO. 07 (PART)","709","SENPARA PARBATA (PART)","110","2-J RUPNAGAR R/A",2,"9","053",1947
"20","CHATTOGRAM","46","KHAGRACHHARI","00","OTHERS AREA","65","MAHALCHHARI","00","OTHERS AREA","506","MAHALCHHARI","748","THALIPARA","222","SYLHETIPARA",2,"6","002",1948
"30","DHAKA","93","TANGAIL","00","OTHERS AREA","28","GHATAIL","00","OTHERS AREA","209","DEOPARA","188","DEOPARA","040","DEOPARA",2,"6","004",1949
"40","KHULNA","18","CHUADANGA","00","OTHERS AREA","31","DAMURHUDA","00","OTHERS AREA","208","DAMURHUDA","168","DASHAMI","068","DASHAMI",2,"6","013",1950
"30","DHAKA","67","NARAYANGANJ","44","NARAYANGANJ CITY CORPORATION","58","NARAYANGANJ SADAR","00","OTHERS AREA","016","WARD NO. 16","159","DEOBHOG (PART)","142","NO.1 BABURAIL",2,"9","006",1951
"55","RANGPUR","32","GAIBANDHA","00","OTHERS AREA","91","SUNDARGANJ","00","OTHERS AREA","713","SARBANANDA","743","TALUK SAHABAZ","040","DAKKHIN SAHABAZ",2,"6","011",1952
"55","RANGPUR","94","THAKURGAON","00","OTHERS AREA","82","PIRGANJ","33","PIRGANJ POURASABHA","003","WARD NO. 03","681","PASHCHIM RAGHUNATHPUR (PART)","161","PASHCHIM RAGHUNATHPUR PASHCHIM SARKARPARA",2,"2","002",1953
"55","RANGPUR","85","RANGPUR","00","OTHERS AREA","73","PIRGACHHA","00","OTHERS AREA","442","KAIKURI","691","RAMCHANDRAPARA","180","RAMCHANDRAPARA",2,"6","001",1954
"30","DHAKA","93","TANGAIL","00","OTHERS AREA","85","SAKHIPUR","80","SAKHIPUR POURASABHA","004","WARD NO. 04","263","GAR GOBINDAPUR (PART)","213","UTTAR GAR GOBINDAPUR",2,"2","003",1955
"30","DHAKA","67","NARAYANGANJ","00","OTHERS AREA","68","RUPGANJ","77","TARABA POURASABHA","005","WARD NO. 05","167","DAKKHIN RUPASI","040","DAKKHIN RUPASI",2,"2","001",1956
"60","SYLHET","91","SYLHET","00","OTHERS AREA","38","GOLAPGANJ","25","GOLAPGANJ POURASABHA","007","WARD NO. 07","681","RANAKELI (PART)","348","RANAKELI NAYAGRAM",2,"2","002",1957
"30","DHAKA","33","GAZIPUR","33","GAZIPUR CITY CORPORATION","99","JOYDEBPUR","00","OTHERS AREA","028","WARD NO. 28","374","JOYDEBPUR (PART)","160","PURBA JOYDEBPUR",2,"9","134",1958
"30","DHAKA","26","DHAKA","20","DHAKA SOUTH CITY CORPORATION","09","CHAKBAZAR","00","OTHERS AREA","029","WARD NO. 29","447","LALBAG (PART)","468","RAHMATGANJ LANE",2,"9","011",1959
"30","DHAKA","33","GAZIPUR","00","OTHERS AREA","34","KALIGANJ","49","KALIGANJ POURASABHA","008","WARD NO. 08","503","MULGAON (PART)","032","CHARPARA",2,"2","003",1960
"55","RANGPUR","85","RANGPUR","00","OTHERS AREA","27","GANGACHARA","00","OTHERS AREA","546","NOHALI","616","PURBA KACHUA","160","PURBA KACHUA",2,"6","011",1961
"20","CHATTOGRAM","15","CHATTOGRAM","16","CHATTOGRAM CITY CORPORATION","19","CHANDGAON","00","OTHERS AREA","004","WARD NO. 04","112","CHAR MOHARA","368","SHAMSERPARA",2,"9","014",1962
"30","DHAKA","67","NARAYANGANJ","00","OTHERS AREA","68","RUPGANJ","33","KANCHAN POURASABHA","004","WARD NO. 04","410","KANCHAN (PART)","184","RANIPURA",2,"2","004",1963
"20","CHATTOGRAM","46","KHAGRACHHARI","00","OTHERS AREA","67","MANIKCHHARI","00","OTHERS AREA","407","JOGYACHHOLA","376","JOGYACHHOLA","229","UTTAR GARITANA",2,"6","001",1964
"55","RANGPUR","27","DINAJPUR","00","OTHERS AREA","30","CHIRIRBANDAR","00","OTHERS AREA","545","NASHRATPUR","698","RANIPUR","180","RANIPUR",2,"6","011",1965
"40","KHULNA","41","JASHORE","00","OTHERS AREA","11","CHAUGACHHA","13","CHAUGACHHA POURASABHA","009","WARD NO. 09","129","CHANDPUR (PART)","048","CHANDPUR",2,"2","001",1966
"20","CHATTOGRAM","15","CHATTOGRAM","16","CHATTOGRAM CITY CORPORATION","28","DOUBLEMOORING","00","OTHERS AREA","027","WARD NO. 27","038","AGRABAD (PART)","064","CHHOTA PUL",2,"9","027",1967
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","64","PALLABI","00","OTHERS AREA","003","WARD NO. 03","784","UTTAR SENPARA (PART)","376","SECTION-10 BLOCK-A",2,"9","030",1968
"55","RANGPUR","85","RANGPUR","00","OTHERS AREA","27","GANGACHARA","00","OTHERS AREA","546","NOHALI","616","PURBA KACHUA","160","PURBA KACHUA",2,"6","008",1969
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","48","MIRPUR","00","OTHERS AREA","013","WARD NO. 13","709","SENPARA PARBATA (PART)","528","UTTAR PIRERBAG",2,"9","014",1970
"10","BARISHAL","04","BARGUNA","00","OTHERS AREA","47","BETAGI","60","BETAGI POURASABHA","007","WARD NO. 07","077","BETAGI (PART)","020","BETAGI BANDAR",2,"2","001",1971
"10","BARISHAL","04","BARGUNA","00","OTHERS AREA","28","BARGUNA SADAR","40","BARGUNA POURASABHA","003","WARD NO. 03","414","KARAITALA MAITHA (PART)","166","PURBA KARAITALA",2,"2","002",1972
"30","DHAKA","33","GAZIPUR","33","GAZIPUR CITY CORPORATION","45","KONABARI","00","OTHERS AREA","010","WARD NO. 10","067","BAGHIA (PART)","008","AMBAG",2,"9","092",1973
"50","RAJSHAHI","81","RAJSHAHI","00","OTHERS AREA","72","PABA","75","NAOHATA POURASABHA","008","WARD NO. 08","081","BARAIPARA","028","BARAIPARA",2,"2","007",1974
"55","RANGPUR","27","DINAJPUR","00","OTHERS AREA","12","BIRGANJ","18","BIRGANJ POURASABHA","005","WARD NO. 05","753","SUJALPUR (PART)","244","THANAPARA",2,"2","001",1975
"20","CHATTOGRAM","22","COX'S BAZAR","00","OTHERS AREA","66","RAMU","00","OTHERS AREA","445","KACHCHHAPIA","418","KACHCHHAPIA","048","DOUCHHARI",2,"6","001",1976
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","93","TURAG","00","OTHERS AREA","053","WARD NO. 53 (PART)","155","DIABARI","068","DIABARI",2,"9","025",1977
"60","SYLHET","91","SYLHET","00","OTHERS AREA","17","BEANIBAZAR","16","BEANIBAZAR POURASABHA","006","WARD NO. 06","236","FATEPUR","068","DASGRAM",2,"2","001",1978
"30","DHAKA","26","DHAKA","20","DHAKA SOUTH CITY CORPORATION","05","BANGSHAL","00","OTHERS AREA","032","WARD NO. 32 (Part)","149","DHAKA (PART)","108","BAGDASA LANE",2,"9","002",1979
"20","CHATTOGRAM","22","COX'S BAZAR","00","OTHERS AREA","16","CHAKARIA","33","CHAKARIA POURASABHA","003","WARD NO. 03","074","BATAKHALI (PART)","020","BATAKHALI (PART)",2,"2","002",1980
"20","CHATTOGRAM","30","FENI","00","OTHERS AREA","25","DAGANBHUIYAN","30","DAGANBHUIYAN POURASABHA","002","WARD NO. 02","040","AZIZ FAZILPUR","010","AZIZ FAZILPUR",2,"2","001",1981
"30","DHAKA","26","DHAKA","00","OTHERS AREA","72","SAVAR","80","SAVAR POURASABHA","003","WARD NO. 03","399","JALESHWAR","188","JALESHWAR",2,"2","017",1982
"30","DHAKA","33","GAZIPUR","33","GAZIPUR CITY CORPORATION","99","JOYDEBPUR","00","OTHERS AREA","022","WARD NO. 22","068","BAHADURPUR","020","BAHADURPUR",2,"9","010",1983
"30","DHAKA","48","KISHOREGANJ","00","OTHERS AREA","02","AUSTAGRAM","00","OTHERS AREA","118","AUSTAGRAM","040","AUSTAGRAM SADAR","010","AUSTAGRAM",2,"6","035",1984
"60","SYLHET","36","HABIGANJ","00","OTHERS AREA","11","BANIACHONG","00","OTHERS AREA","613","PAILARKANDI","438","KUMRI","068","DURGAPUR",2,"6","002",1985
"20","CHATTOGRAM","15","CHATTOGRAM","16","CHATTOGRAM CITY CORPORATION","31","EPZ","00","OTHERS AREA","039","WARD NO. 39","149","DAKKIHIN HALISHAHAR","068","DAKKIHIN HALISHAHAR",2,"9","075",1986
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","02","ADABAR","00","OTHERS AREA","030","WARD NO. 30","668","RAMCHANDRAPUR","276","NABODAY HOUSING",2,"9","020",1987
"10","BARISHAL","78","PATUAKHALI","00","OTHERS AREA","57","GALACHIPA","00","OTHERS AREA","109","AMKHOLA","131","CHHAILABUNIA","030","CHHAILABUNIA",2,"6","006",1988
"20","CHATTOGRAM","19","CUMILLA","00","OTHERS AREA","31","CHAUDDAGRAM","00","OTHERS AREA","319","GUNABATI","454","KARTAM","110","KARTAM",2,"6","001",1989
"20","CHATTOGRAM","22","COX'S BAZAR","00","OTHERS AREA","94","UKHIA","00","OTHERS AREA","673","RAJAPALANG","864","WALA PALANG","134","MACHHKARIA",2,"6","003",1990
"20","CHATTOGRAM","19","CUMILLA","00","OTHERS AREA","72","LAKSAM","83","LAKSAM POURASABHA","006","WARD NO. 06","615","PASHCHIMGAON (PART)","041","DAKKHIN PASHCHIMGAON",2,"2","003",1991
"20","CHATTOGRAM","15","CHATTOGRAM","00","OTHERS AREA","37","HATHAZARI","00","OTHERS AREA","220","DHALAI","597","PASHCHIM DHALAI","308","PASHCHIM DHALAI-1",2,"6","007",1992
"10","BARISHAL","09","BHOLA","00","OTHERS AREA","21","BORHANUDDIN","00","OTHERS AREA","610","PAKKHIA","590","PAKKHIA","160","PAKKHIA",2,"6","004",1993
"30","DHAKA","26","DHAKA","20","DHAKA SOUTH CITY CORPORATION","32","KADAMTALI","00","OTHERS AREA","061","WARD NO. 61 (PART)","150","DANIA (PART)","001","MINA BAG",2,"9","001",1994
"30","DHAKA","26","DHAKA","20","DHAKA SOUTH CITY CORPORATION","40","KOTWALI","00","OTHERS AREA","036","WARD NO. 36","149","DHAKA (PART)","372","PRASANNA PODDAR LANE",2,"9","002",1995
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","07","BANANI","00","OTHERS AREA","020","WARD NO. 20 (PART)","484","MAHAKHALI","282","GP-KA HOSPITAL",2,"9","015",1996
"30","DHAKA","33","GAZIPUR","33","GAZIPUR CITY CORPORATION","15","BASAN","00","OTHERS AREA","017","WARD NO. 17","501","MOGORKHAL","248","MOGORKHAL",2,"9","018",1997
"20","CHATTOGRAM","13","CHANDPUR","00","OTHERS AREA","47","HAIMCHAR","00","OTHERS AREA","177","CHAR BHAIRABI","113","CHAR BHAIRABI","001","MADDA PARA BAGULA",2,"6","001",1998
"30","DHAKA","26","DHAKA","00","OTHERS AREA","72","SAVAR","80","SAVAR POURASABHA","006","WARD NO. 06","079","BARA BALIMEHER (PART)","068","DAKKHIN TALBAG",2,"2","003",1999
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","26","GULSHAN","00","OTHERS AREA","018","WARD NO. 18","075","BHATARA (PART)","328","PASHCHIM SHAHJADPUR",2,"9","015",2000
